Bus No,Start,Destination,Route,Area Section
25G,Anna Square,Poonamallee,"Kannaki Statue, V.House, Royapettah, Palmgrove, Liberty, Vadapalani, Porur, Iyyapanthangal, Kumananchavadi",Anna Square
27E,Anna Square,Elango nagar officer colony,"Collector nagar, Thirumangalam, Rountana, Amijikarai, KMC, Egmore RS, Zimson, Triplicane, Kannaki Statue",Anna Square
27H,Anna Square,Avadi,"Triplicane, LIC, DPI, Sterling Road, Anna Arch, Thirumangalam, Padi, Ambattur OT",Anna Square
27H xt,Anna Square,Pattabiram,"Triplicane, LIC, DPI, Sterling Road, Anna Arch, Thirumangalam, Padi, Ambattur OT, Avadi",Anna Square
27L,Anna Square,Mogappair West,"Triplicane, Ethiraj College, Loyola College, Choolaimedu, Thirumangalam",Anna Square
27R,Anna Square,Oragadam,"Triplicane, LIC, DPI, Sterling Road, Choolaimedu, Anna Arch, Thirumangalam, Vavin, Ambattur I.E,Ambattur OT",Anna Square
H27,Anna Square,Ambattur,"Triplicane, LIC, DPI, Sterling Road, Loyola College, Choolaimedu, Roundtana, Thirumangalam, Vavin,Ambattur I.E",Anna Square
40A,Anna Square,Avadi,"Triplicane, LIC, Egmore, KMC, Aminjikarai, Chinthamani, Blue Star, Collector Nagar, Ambattur OT",Anna Square
45B,Anna Square,Guindy,"Saidapet, Nandanam, Teynampet, Alwarpet, Luz, Chennai Citi Centre",Anna Square
45G,Anna square,Guindy,"Marina Beach, Chennai Citi Centre, Mylapore, Mandaveli, Adyar G ate, Nandanam, CIT Nagar, Srinivasa, Mettupalayam, Saidapet West",Anna Square
M45B,Anna Square,Nanganallur,"Saidapet, Nandanam, Teynampet, Alwarpet, Luz, Chennai Citi Centre",Anna Square
M45E,Anna Square,Kilkattalai,"Triplicane, Chennai Citi Centre, Luz, Saidapet, Velachery",Anna Square
127B,Anna Square,Thiruverkadu,"Maduravoyal, KoyambeduMarket, Amijikarai, KMC, Chetpet, EgmoreR.S, Chindhatripet, Triplicane",Anna Square
127H,Anna Square,Villivakkam,"Triplicane, LIC, DPI, Sterling Road, Anna Arch, Thirumangalam, Nadhamuni",Anna Square
C2,Anna Square,Anna Square,"Ezhilagam, Triplicane, Chepauk, Wallaja Road, Pallavan Road, Central, Regal, Vallalar Nagar, Royapuram bridge, Beach Road, Parrys, Secretariat",Anna Square
C2,Anna Square,Anna Square,"Secretariat, Parrys, Beach Road, Stanley Hospital, Vallalar Nagar, Regal, Central, Pallavan Road, Wallajah road, Chepauk, Triplicane, Ezhilagam",Anna Square
13A,Anna Square,T.Nagar,"Triplicane, Zambazzar, Express Avenue, Royapettah, Gopalapuram playground, Sapphire, LFC, Vanimahal",Anna Square
22B,Anna Square,Korattur,"Lucas, Nathamuni, ICF, Ayanavaram, Kellys, Purasaiwakkam, Egmore, Triplicane,Ka nnagi statue",Anna Square
27B,Anna Square,CMBT,"Koyambedu, Arumbakkam, NSK nagar,Amijikarai, KMC, Chetpet, MMC School, Egmore RS, Chindatripet, Zimson, Triplicane, Kannaki Statue",Anna Square
29A,Anna Square,Perambur,"Otteri, Devoton, Egmore, Pudhupet, Walaja Road, Bells Road, Triplicane",Anna Square
M45A,Anna Square,Velachery,"Saidapet, Nandanam, Adyar Gate",Anna Square
242xt,Anna Square,Red Hills,,Anna Square
61C,Avadi,Muthapudupet,"HVF Hospital, HVF Main Gate",Avadi
61K,Avadi,Kaniyamman Nagar,"HVF Hospital, Kovilpadagai, Veerapuram",Avadi
61R,Avadi,Red Hills,"HVF Hospital, Kovilpadagai, Vellanur, Veerapuram, Kadavoor",Avadi
62,Avadi,Red Hills,"Thirumullaivoyal, Ambathur OT, Pudur, Kallikuppam, Surapedu, Puzhal, Bypass road, Kavangarai, Ayurveda Ashramam",Avadi
65,Avadi,Poonamallee,"Govardhanagiri, Mettupalayam, Kaduveti, Karaiyanchavadi",Avadi
65D,Avadi,Melkondaiyur,"Pattabiram, Thirunindravur",Avadi
65G,Avadi,Meyyur,"Pattabiram, Thirunindravur",Avadi
65H,Avadi,Red Hills,"Pattabiram, Thirunindravur",Avadi
70,Avadi,Tambaram,"Ambattur, Padi, Thirumangalam, CMBT, Vadapalani, Ashok Pillar, Chennai Airport, Pallavaram, Chromepet",Avadi
70A,Avadi,Vandalur Zoo,Tambaram,Avadi
70B,Avadi,Chromepet Lakshmi,"Ambattur OT, Collector Nagar, CMBT, Vadapalani, Udhayam, Pallavaram",Avadi
A70,Avadi,Pallavaram,"Ambattur, Padi, Thirumangalam, CMBT, Vadapalani, Ashok Pillar, Kathipara, Chennai Airport",Avadi
266,Avadi,Tambaram,"Govardhanagiri, Kaduveti, Karaiyanchavadi, Kumananchavadi, Mangadu, Kundrathur, Pallavaram",Avadi
565A,Avadi,Sunguvarchatira m,"Govardhanagiri, Karaiyanchavadi, Poonamallee, Irrunkatturkottai, Sriperumbudur",Avadi
580,Avadi,Arani,"Pattabiram, Thiruninravur, Pakkam, Tamaraipakkam, Vadamadurai, Periyapalayam Koot road",Avadi
580M,Avadi,Malanthur,"Pattabiram, Thiruninravur, Pakkam, Tamaraipakkam, Vengal, Vengal Koot road",Avadi
24C,Avadi,V House,"Ambattur OT, Collector Nagar, Blue Star, Chinthamani, Aminijikarai, Chetpet, Gemini, Royapetah",Avadi
27H,Avadi,Anna Square,"Triplicane, LIC, DPI, Sterling Road, Anna Arch, Thirumangalam, Padi, Ambattur OT",Avadi
41D,Avadi,Mandaveli,"Ambattur OT, Korattur, Lucas,Thirumangalam, Amijikarai, KMC, Chetpet,Sterling road, Gemini,Teynampet,Nandanam, Adyar Gate",Avadi
47D,Avadi,Thiruvanmiyur,"Adyar, T. Nagar, Sterling Road, Ambattur I.E",Avadi
A47,Avadi,Thiruvanmiyur,"Adyar, T.Nagar, Pushpa Nagar, Ambattur I.E",Avadi
M70A,Avadi,CMBT,"Ambattur O.T, Collector Nagar",Avadi
120,Avadi,Broadway,"Central R.S, Purasaiwakkam, Sayani, ICF, Padi, Ambattur OT",Avadi
A147,Avadi,Thiruvanmiyur,"Adyar, T.Nagar, Pushpa Nagar, Ambattur I.E, Collector Nagar",Avadi
150,Avadi,Broadway,"Central, Dasaprakash, KMC, Amijikarai, Arumbakkam, Koyambedu, Nerkundram, Maduravoyal, Vanagaram, Velappan chavadi, Thiruverkadu, Govardhangiri, Avadi Market",Avadi
162A,Avadi,Mathur MMDA,Puzhal,Avadi
572A,Avadi,Thiruvallur,"Pattabiram, Thirunindravur, Veppampattu, Sevapet, Kakallur",Avadi
71H,Avadi Kamaraj Nagar,Broadway,"Central R.S, New Avadi road, Nadhamuni, Ambattur IE, Ambattur OT, Avadi",Avadi
22,Ayanavara,Anna Square,"Egmore, Triplicane,Kannagi statue",Ayanavaram
23C,Ayanavara m,Besant Nagar/Thiruva nmiyur,"Purasaiwakkam, Egmore, LIC, TVS, Saidapet, Adyar",Ayanavaram
35,Ayanavara m,Broadway,"Sayani, Kellys, Purasaiwakkam, Choolai P.O, Central R.S",Ayanavaram
70G,Ayanavara m,Tambaram,"Anna Nagar East, Thirumangalam, CMBT, Vadapalani, Ashok Pillar, Chennai Airport, Pallavaram, Chromepet",Ayanavaram
114A,Ayanavara m,Red Hills,"Puzhal, Nethaji Circle(byepass), Retteri, Lucas, ICF",Ayanavaram
20E,Ayyapakka m,Ambattur I.E,,Ayyappakkam
20J,Ayyapakka m,CMBT,,Ayyappakkam
147Cxt,Ayapakka m,T.Nagar,Ambattur I.E,Ayyappakkam
23M cut,Besant nagar,CMBT,"Adyar, Gandhi mandapam, Little mount, Saidapet, T.Nagar, Panagal park, Liberty, Power house, Vadapalani, MMDA Colony",Besant Nagar
47B,Besant Nagar,Villivakkam,"Avvai Home, Adyar B.S, T.Nagar, Anna Nagar East",Besant Nagar
6A,Besant Nagar,Tollgate,"Adyar, Foreshore Estate, Triplicane, Parry's Corner, Maharani, Washermanpet,",Besant Nagar
23C,Besant Nagar/Thir uvanmiyur,Ayanavaram,"Purasaiwakkam, Egmore, LIC, TVS, Saidapet, Adyar",Besant Nagar
29C,Besant Nagar/Thir uvanmiyur,Perambur,"Jamaliya, Otteri, KMC, Chetpet, Sterling Road/College Road, Gemini, Mylapore, Mandaveli, Adyar",Besant Nagar
1G Cut,Broadway,Madipakkam,"Velachery, Saidapet, TVS, LIC, Central",Broadway
A1 xt,Broadway,Kovalam,"Central, LIC, Royapettah, Luz, Mylapore, Mandaveli, AMS, Adyar, Thiruvanmiyur, Kottivakkam, Palavakkam, Neelangarai, Injambakkam, Uthandi, Kanathur, Muttukadu boat yard",Broadway
5C,Broadway,Taramani,"Madhya Kailash, Kotturpuram, Alwarpet, Royapettah, Chennai Central",Broadway
7B,Broadway,Korattur,"Central R.S, Periamet, Vepery, Doveton, Pattalam, Otteri, Ayanavaram, Joint Office, ICF, Villivakkam, Nathamuni",Broadway
7E,Broadway,Ambattur I.E,"Central R.S, Choolai P.O, Doveton, Purasaiwakkam, Kellys, Kilpauk Gardens, Chinthamani,",Broadway
7F,Broadway,Anna Nagar West,"Central R.S, Vepery, Purasaiwakkam, Kellys, Kilpauk Gardens, Chinthamani, Thirumangalam",Broadway
7G,Broadway,Kaviarasu Kannadasan Nagar,"Moolakadai, Perambur market, Pattalam, Doveton, Periamedu, Central R.S",Broadway
7H,Broadway,Mogappair East,"Central R.S, Vepery, Purasaiwakkam, Kellys, Kilpauk Gardens, Chinthamani, Thirumangalam",Broadway
7H xt,Broadway,Ambattur I.E,"Central R.S, Vepery, Purasaiwakkam, Kellys, Kilpauk Gardens, Chinthamani, Thirumangalam",Broadway
7M,Broadway,Mogappair West,"Central R.S, Vepery, Purasaiwakkam, Kellys, Kilpauk Gardens, Chinthamani, Thirumangalam",Broadway
11,Broadway,T.Nagar,"Panagal park, Vani mahal, Thousand Lights, TVS, Central R.S",Broadway
A11,Broadway,T.Nagar,Teynampet,Broadway
15,Broadway,Anna NagarWest,,Broadway
15A,Broadway,Anna Nagar West,Kilpauk,Broadway
15B,Broadway,CMBT,"Amijikarai, KMC, Dasaprakash, Central R.S",Broadway
15D,Broadway,Anna Nagar West,"Dasaprakash, Anna Hospital, 14 Shops",Broadway
15F,Broadway,Vadapalani,"Virugambakkam, Chinmaya nagar, Koyambedu Market, CMBT, Amijikarai, KMC, Dasaprakash, Central R.S",Broadway
15F cut,Broadway,Koyambedu Ma rket,"CMBT, Amijikarai, KMC, Dasaprakash, Central R.S",Broadway
15L,Broadway,Athipet ICF colony,,Broadway
17,Broadway,Vadapalani,"Central,Chindatripet,Egmore RS, Chetpet,Sterling road, Loyola college, Kodambakkam",Broadway
17A,Broadway,CMBT,"Koyambedu Market, Virugambakkam, Vadapalani, Gemini",Broadway
17B,Broadway,Mangadu,"Paranipathur, Baikadai, Moulivakkam, Porur, Virugambakkam, Vadapalani, Gemini, Thousand lights, Central",Broadway
17C,Broadway,Iyyapanthangal,"Central, Egmore, DPI, Sterling Road, Valluvarkottam, Liberty, Vadapalani, Virugambakkam, Valasarawakkam, Porur, SRMC",Broadway
17D,Broadway,K K Nagar,"Central, Egmore, DPI, Sterling Road, Valluvarkottam, Liberty, Udhayam, Nesapakkam",Broadway
17E,Broadway,Saligramam,"Central, Chindatripet, Egmore, DPI, Sterling Road, Valluvarkottam, Liberty, Vadapalani",Broadway
17G,Broadway,Mogalivakkam,"Kedar Hospital, Ramapuram, Angalamman Koil, Alwarthirunagar, Virugambakkam, Vadapalani, Gemini, Thousand lights, Central",Broadway
17K,Broadway,Dasarathapura m,"Central, Egmore, DPI, Sterling Road, Valluvarkottam, Liberty, Vadapalani",Broadway
17M,Broadway,Iyyapanthangal,"Porur, Virugambakkam, Vadapalani, Kodambakkam Power house, Liberty, Periyar Road, Valluvar kottam, Gemini, Thousand lights, TVS, LIC, Simpson, Central",Broadway
18,Broadway,Guindy,"Central R.S, Zimson, Shanthi Theater, LIC, TVS, Thousand Lights, DMS, Vanavil, SIET, Defence Accounts office, Nandanam, Saidapet",Broadway
18A,Broadway,Perugalathur,"LIC, TVS, Saidapet, Guindy, Pallavaram, Chr omepet, Tambaram Sanatorium, Tambaram",Broadway
18D,Broadway,Kilkattalai,"LIC, TVS, Saidapet, Guindy, St. Thomas Mount",Broadway
18E,Broadway,Ramapuram,"LIC, TVS, Saidapet, Guindy, Nandambakkam",Broadway
18F,Broadway,Guindy,"Central R.S, Simpson, LIC, TVS, DMS, Nandanam, CIT Nagar, Srinivasa, Mettupalayam, Saidapet West",Broadway
18K,Broadway,Saidapet West,"Central R.S, Simpson, LIC, TVS, DMS, Teynampet, Nandanam, CIT Nagar, Srinivasa, Mettupalayam",Broadway
K18,Broadway,Saidapet West,"Central R.S, Simpson, LIC, TVS, DMS, Teynampet, Nandanam, Saidapet, Guindy, Ekkaduthangal,Ashok nagar, Mettupalayam",Broadway
K18 cut,Broadway,Ekkaduthangal,"Central R.S, Simpson, LIC, TVS, DMS, Teynampet, Nandanam, Saidapet, Guindy,CIPET",Broadway
19G,Broadway,Kovalam,"Central, LIC, DMS, SIET, Saidapet, Anna university, Adyar, Thiruvanmiyur, Kottivakkam, Palavakkam, Neelangarai, Injambakkam, Uthandi, Kanathur, Muttukadu boat yard",Broadway
PP19xt,Broadway,Kovalam,"Marina Beach, Thiruvanmiyur, Injambakkam",Broadway
20,Broadway,Villivakkam,,Broadway
20A,Broadway,Mugappair West,"Central RS, Periyamedu, Purasaiwakkam, Villivakkam, Nadhamuni, Ambattur I.E",Broadway
20B,Broadway,Menambedu,"Purasaiwakkam, Villivakkam, Nadhamuni, Padi, Ambattur I.E, Dunlop, Ambattur OT",Broadway
20C,Broadway,Oragadam,"Purasaiwakkam, Villivakkam, Nadhamuni, Padi, Ambattur I.E, Dunlop, Ambattur OT",Broadway
20M,Broadway,Kumaran Nagar,Villivakkam,Broadway
20N,Broadway,Poombukar,Villivakkam,Broadway
21,Broadway,Mandaveli,"Mylapore, Luz, Ajanta, Express Avenue, L.I.C, Simpson, Central",Broadway
21D,Broadway,Thiruvanmiyur,"Indira Nagar, Besant Nagar, Foreshore Estate, Anna Square",Broadway
21E,Broadway,Iyyapanthangal,"Porur, Guindy, Adayar, Foreshore Estate, Anna Square",Broadway
21G,Broadway,Tambaram,"Anna Square, Mylapore, Mandaveli, Adyar Gate, Guindy",Broadway
21H,Broadway,Kelambakkam,"Secretrariat, Anna Square, AIR, Santhome, Foreshore Estate, MRC Nagar, Adyar, SRP Tools, Perungudi, Sholinganallur, Navalur",Broadway
21K,Broadway,Bharath Electronics,"Secretrariat, Anna Square, AIR, Santhome, Foreshore Estate, MRC Nagar, Adyar, Anna University,Guindy, Butt Road, Defence Colony",Broadway
21L xt,Broadway,Kilkattalai,"Marina Beach, Foreshore Estate, MRC Nagar, Adyar, Anna University, Velachery",Broadway
C21,Broadway,Ottiyambakkam,"Secretrariat, Anna Square, AIR, Santhome, Foreshore Estate, MRC Nagar, Adyar, SRP Tools, Perungudi, Sholinganallur, Perumbakkam, Nukkanpalayam, Arasan Kazhani",Broadway
G21,Broadway,Chromepet,"Secretariat, Kannaki Statue, QMC, Kalyani Hospital, Sanskrit College, Luz, Mylapore, Mandaveli BS, Adyar Gate, Kotturpuram, Anna university, Guindy, Pallavaram",Broadway
H21,Broadway,Chemmenchery,"Secretrariat, Anna Square, AIR, Santhome, Foreshore Estate, MRC Nagar, Adyar, SRP Tools, Perungudi, Sholinganallur",Broadway
L21,Broadway,Velachery,"Marina Beach, Foreshore Estate, MRC Nagar, Adyar, SRP Tools",Broadway
R21,Broadway,Pallavaram,"Eachangadu, Kilkattalai, Velachery, SRP, Adayar, Foreshore Estate, Anna Square",Broadway
S21,Broadway,Mettukuppam,", Adyar",Broadway
T21,Broadway,Kannagi Nagar,"Thoraipakkam, Adyar, Marina",Broadway
M21G,Broadway,Guindy,"Secretariat, Kannaki Statue, QMC, Kalyani Hospital, Sanskrit College, Luz, Mylapore, Mandaveli BS, Adyar Gate, Kotturpuram, Anna university,",Broadway
M21G xt,Broadway,Ekkaduthangal,"Secretariat, Kannaki Statue, QMC, Kalyani Hospital, Sanskrit College, Luz, Mylapore, Mandaveli BS, Adyar Gate, Kotturpuram, Anna university, Guindy",Broadway
PP21,Broadway,Guduvanchery,"Secretariat, Chepauk, Q.M.C, Fore Shore Estate, Adyar Bus Stand, Guindy,Pallavaram, Chromepet, Tambaram, Vandalur Zoo",Broadway
33,Broadway,M.K.B Nagar,"Vyasarpadi, Basin Bridge, Mint, Mannadi",Broadway
M33xt,Broadway,Kaviarasu Kannadasan Nagar,"M.K.B Nagar, Vyasarpadi, Basin Bridge, Mint, Mannadi",Broadway
M33A,Broadway,Moolakadai,,Broadway
42,Broadway,Periyar Nagar,"Central R.S, Periamet, Natarajatheatre, Pulianthope, Pattalam, Kannigapuram, Perambur B.S, Venus, Peravallur",Broadway
42A,Broadway,G.K.M colony,"Central R.S, Periamet, Nataraja theatre, Pulianthope, Pattalam, Kannigapuram, Perambur B.S, Venus, Peravallur",Broadway
M42B,Broadway,Poombuhar,"Central R.S, Periamet, Choolaipostoffice, Doveton, Bhuvaneswari, Pattalam, Otteri, Perambur, Venus, Peravallur,Nehrusilai",Broadway
M42C,Broadway,Teacherscolony,"Central, Periamet, Natarajatheatre, Pulianthope, Pattalam, Kannigapuram, Perambur B.S, Venus, Peravallur, Kolathur, Vinayagapuram",Broadway
M42D,Broadway,Srinivasanagar,,Broadway
44A,Broadway,I.O.C (Indian Oil Corporation),Tondiarpet,Broadway
44C,Broadway,I.O.C,Korukkupet,Broadway
44D,Broadway,I.O.C,Sathiyamoorthy Nagar,Broadway
44L,Broadway,Parvathi Nagar (Kodungaiyur),,Broadway
50,Broadway,Thiruverkadu,"Central, Dasaprakash, KMC, Amijikarai, Arumbakkam, Koyambedu, Nerkundram, Maduravoyal, Vanagaram, Velappan chavadi",Broadway
51J,Broadway,Ponmar,"Central, LIC, DMS, SIET, Saidapet, CheckpostVelachery,Medavakkam,Sith alapakkam koot road,Kovilancherry,Madurapakkam",Broadway
51R,Broadway,Madipakkam BS,"Puzhudivakkam, Guindy Race Course",Broadway
53,Broadway,Poonamallee,"Kumananchavadi, Mathruvayoil, Arumbakkam, Aminijikarai, KMC, Central R.S",Broadway
53E,Broadway,Mangadu,"Kumananchavadi, Mathruvayoil, Arumbakkam, Aminijikarai, KMC, Central R.S",Broadway
54K,Broadway,Nemam,"Poonamallee, Kumananchavadi, SRMC, Porur, Guindy, Saidapet, DMS, TVS, LIC, Central R.S",Broadway
56,Broadway,Kargil Nagar,"V.Nagar, Tondiarpet, Thiruvottriyur, Sathyamoorthy nagar",Broadway
56 xt,Broadway,Ennore,"V.Nagar, Tondiarpet, Thiruvottriyur, Ernavoor, Ashok Leyland",Broadway
56D,Broadway,Manali,"Beach R.S, Thambuchetty St., Kalmandappam, Kasimedu, Tondirapet, Tollgate, Rajakadai, Thiruvotriyur R.S, Mattumandai",Broadway
56N,Broadway,Ennore,,Broadway
58A,Broadway,Red Hills,"V.Nagar, Vyasarpadi, Moolakadai, Mathur",Broadway
58H,Broadway,New Erumai Vettipalayam,"Karanodai, RedHills, V.Nagar, Vyasarpadi, Moolakadai",Broadway
58G,Broadway,Gnayaru,"V.Nagar, Vyasarpadi, Moolakadai",Broadway
60D,Broadway,"Kamarajpuram, Anakaputhur","Pallavaram, Guindy",Broadway
60E,Broadway,Kundrathur,"Andankuppam, Anakaputtur, Pallavaram, Guindy, Anna University, Adyar, Sathyastudio, MRC Nagar, Pattinapakkam, AIR, Kannagi Statue, Annasquare",Broadway
60G,Broadway,Pozhichalur,"Pallavaram, Guindy, Anna University, Adyar, Sathyastudio, MRC Nagar, Pattinapakkam, AIR, Kannagi Statue, Annasquare",Broadway
60H,Broadway,"Shankar Nagar, Pammal","Pammal, Pallavaram, Guindy",Broadway
