From Station,To Station,Normal Fare (Rs),"Discounted Fare (Rs, 20% off)"
Puratchi Thalaivi Dr.J.Jayalalitha CMBT Metro,St. Thomas Mount,30,24
Koyambedu,Thirumangalam,10,8
Koyambedu,Anna Nagar Tower,20,16
Koyambedu,Anna Nagar East,20,16
Koyambedu,Shenoy Nagar,20,16
Koyambedu,Pachiappas College,30,24
Koyambedu,Kilpauk,30,24
Koyambedu,Nehru Park,30,24
Koyambedu,Egmore,30,24
Koyambedu,St. Thomas Mount,30,24
Thirumangalam,Anna Nagar Tower,10,8
Thirumangalam,Anna Nagar East,10,8
Thirumangalam,Shenoy Nagar,20,16
Thirumangalam,Pachiappas College,20,16
Thirumangalam,Kilpauk,30,24
Thirumangalam,Nehru Park,30,24
Thirumangalam,Egmore,30,24
Thirumangalam,St. Thomas Mount,40,32
Anna Nagar Tower,Anna Nagar East,10,8
Anna Nagar Tower,Shenoy Nagar,20,16
Anna Nagar Tower,Pachiappas College,20,16
Anna Nagar Tower,Kilpauk,20,16
Anna Nagar Tower,Nehru Park,30,24
Anna Nagar Tower,Egmore,30,24
Anna Nagar Tower,St. Thomas Mount,40,32
Anna Nagar East,Shenoy Nagar,10,8
Anna Nagar East,Pachiappas College,20,16
Anna Nagar East,Kilpauk,20,16
Anna Nagar East,Nehru Park,20,16
Anna Nagar East,Egmore,30,24
Anna Nagar East,St. Thomas Mount,40,32
Shenoy Nagar,Pachiappas College,10,8
Shenoy Nagar,Kilpauk,20,16
Shenoy Nagar,Nehru Park,20,16
Shenoy Nagar,Egmore,20,16
Shenoy Nagar,St. Thomas Mount,40,32
Pachiappas College,Kilpauk,10,8
Pachiappas College,Nehru Park,10,8
Pachiappas College,Egmore,20,16
Pachiappas College,St. Thomas Mount,40,32
Kilpauk,Nehru Park,10,8
Kilpauk,Egmore,10,8
Kilpauk,St. Thomas Mount,40,32
Nehru Park,Egmore,10,8
Nehru Park,St. Thomas Mount,40,32
Egmore,St. Thomas Mount,40,32
