No,Start,Destination,Route
M64B,Broadway,Minjur,"Napalayam, Manali New Town, MFL, CPCL, Manali, Madhavaram Milk colony, Moolakadai, Perambur market, Pulianthope, Doveton, Central R.S"
M64C,Broadway,Manali,"Madhavaram Milk colony, Thapal petti, Moolakadai, Vyasarpadi, Pulianthope, Doveton, Central R.S"
M64D,Broadway,Kosappur,"Madhavaram Milk colony, Thapal petti, Moolakadai, Vyasarpadi, Pulianthope, Doveton, Central R.S"
71,Broadway,Ambattur OT,"Central R.S, Taylors Road, New Avadi road, Nadhamuni, Padi, Ambattur IE"
71D,Broadway,Pudur,"Central R.S, Nadhamuni, Padi, Ambattur IE, Ambattur OT"
71F,Broadway,Senthil Nagar,"Central R.S, Nadhamuni, Ambattur IE, Ambattur OT"
71H,Broadway,Avadi Kamaraj Nagar,"Central R.S, New Avadi road, Nadhamuni, Ambattur IE, Ambattur OT, Avadi"
71V,Broadway,Veppampattu,"Central R.S, Nadhamuni, Ambattur I.E, Ambattur OT, Avadi, Thirunindravur"
M116,Broadway,Kaviarasu Kannadhasan Nagar,"SIDCO, MKB Nagar, Sathyamoorthy Nagar, Basin Bridge, Mint, Stanley, Beach R.S"
M116A,Broadway,Muthamil Nagar (Kodungaiyur),"SIDCO, MKB Nagar, Sathyamoorthy Nagar, Basin Bridge, Mint, Stanley, Beach R.S"
M116L,Broadway,Parvathi Nagar (Kodungaiyur),"Muthamil Nagar, SIDCO, MKB Nagar, Sathyamoorthy Nagar, Basin Bridge, Mint, Stanley, Beach R.S"
120,Broadway,Avadi,"Central R.S, Purasaiwakkam, Sayani, ICF, Padi, Ambattur OT"
120C,Broadway,Thirumullaivoyal colony,"Central R.S, Purasaiwakkam, Sayani, ICF, Padi, Ambattur OT"
142B,Broadway,Peravallur Kumaran Nagar,
142P,Broadway,Puthagaram,
150,Broadway,Avadi,"Central, Dasaprakash, KMC, Amijikarai, Arumbakkam, Koyambedu, Nerkundram, Maduravoyal, Vanagaram, Velappan chavadi, Thiruverkadu, Govardhangiri, Avadi Market"
153,Broadway,Thirumazhisai,"Central R.S, KMC, Madhuravoyal, Poonamallee"
164C,Broadway,Manali,
502,Broadway,Sriperumbudur,"Central R.S, LIC, Saidapet, Guindy, Porur, Kumananchavadi, Poonamallee, Irrungattukottai"
527,Broadway,Thathamanji,"V.Nagar, Tondiarpet, Thiruvottriyur, Sathyamoorthy nagar, Minjur, Kadapakkam"
557,Broadway,Gummidipoondi,"Beach R.S, Mint, Vyasarpadi, Moolakadai, Red Hills, Thachur Koot Road, Puduvayal, Kavarapettai"
587,Broadway,Thirupporur,"Marina, Thiruvamiyur, ECR, Kelambakkam"
593,Broadway,Thandalam,"Beach R.S, Stanley, Mint, Basin Bridge, Vyasarpadi, Moolakadai, Puzhal, Red Hills, Karanodai, Periyapalayam"
521,Broadway,Thirupporur,"Marina, Thiruvanmiyur, Perungudi, Sholinganallur, Kelambakkam"
10E,Broadway,Ekkaduthangal,"Central R.S, Egmore R.S, Maternity Hospital, DPI, Sterling road, Valluvar Kottam, Panagal park, T. Nagar, Srinivasa Theater, Mettupalayam, Ashok Nagar, Jaffarkhanpet"
M21T,Broadway,Kannagi Nagar,"Santhome, Adyar, Perungudi"
35,Broadway,Ayanavaram,"Sayani, Kellys, Purasaiwakkam, Choolai P.O, Central R.S"
38A,Broadway,Mathur MMDA,
38H,Broadway,Madhavaram,"Thapal Petti, Moolakadai, Sharma nagar, Vyasarpadi, Basin Bridge, Mint, Stanley, Beach R.S"
51D,Broadway,Tambaram East,"Convent, Camp road, Rajakilpakkam, Kozhipannai, Madambakkam, Jothi Nagar, Noothencherry, Vengaivasal, Santhosapuram, Medavakkam Koot road, Medavakkam, Pallikaranai, Velacherry, Saidapet, DMS, TVS, LIC, Central"
H51,Broadway,Tambaram East,"Secretariat, Kannaki Statue, QMC, Kalyani Hospital, Luz, Mylapore, Mandaveli BS, AMS, Adyar Depot, SRP tools, Taramani, Velachery, Pallikaranai, Medavakkam, Santhosapuram, Kamarajapuram, Camp road, Convent"
52,Broadway,Pozhichalur,"Pallavaram, Guindy, Saidapet, DMS, TVS, LIC, Central RS"
52D,Broadway,Chitlapakkam,"Varadharaja Theater, Chromepet, Pallavaram, Guindy, Saidapet, DMS, TVS, LIC, Central RS"
53P,Broadway,Pattur,"Mangadu, Kumananchavadi, Mathruvayoil, Arumbakkam, Aminijikarai, KMC, Central R.S"
54,Broadway,Poonamallee,"Kumananchavadi, Porur, Guindy, DMS, TVS, LIC, Central R.S"
54G,Broadway,Kuthambakkam,"Vellavedu, Thirumazhisai, Poonamallee, Porur, Guindy, DMS, TVS, LIC, Central R.S"
60,Broadway,Anakaputhur,"Pammal, Pallavaram, Guindy, Little Mount, Saidapet, Teynampet, DMS, TVS, Simpson, Central R.S"
60C,Broadway,Anakaputhur,"Pammal, Pallavaram, Guindy, Little Mount, Saidapet, Teynampet, DMS, TVS, Simpson, Central R.S"
155A,Broadway,Thirumudivakkam,"Thiruneermalai, Nagakeni, Pallavaram, Guindy, Saidapet, DMS, LIC, Central R.S"
242,Broadway,Red Hills,"Central R.S, Vepery, Doveton, Perambur, Kolathur, Puzhal"
242xt,Broadway,Padiyanallur,"Perambur, Central R.S"
553,Broadway,Sriperumbudur,"Central R.S, KMC, Kumananchavadi, Poonamallee, Irrungattukottai"
571,Broadway,Thiruvallur,"Central R.S, Taylors Road, Nadhamuni, Padi, Ambattur IE, Avadi, Thirunindravur, Vepampattu, Sevapet, Kakallur"
579,Broadway,Padappai,"Karasangal, Mudichur, Tambaram, Pallavaram, Guindy, Saidapet, LIC"
588B,Broadway,Mamallapuram,"Marina Beach, Thiruvanmiyur, Injambakkam, Kovalam, Thiruvedanthai, Vadanemili"
M500,Chengalpattu,Tambaram,"Singaperumal Koil, Maraimalai nagar IE, Guduvancherry, Vandalur Zoo, Perugalathur"
500,Chengalpattu,T. Nagar,"Singaperumal Koil, Maraimalai nagar IE, Guduvancherry, Vandalur Zoo, Tambaram, Pallavaram, Guindy, Saidapet"
500A,Chengalpattu,Hasthinapuram,"Singaperumal Koil, Maraimalai nagar IE, Guduvancherry, Vandalur Zoo, Tambaram, Tambaram Sanatorium, Nehru nagar (Chromepet), Kumaran Kundram"
500C,Chengalpattu,CMBTItems,"Singaperumal Koil, Maraimalai nagar IE, Guduvancherry, Vandalur Zoo, Tambaram, Pallavaram, Guindy, Saidapet"
500J,Chengalpattu,Velachery,"Pallikkaranai, Medavakkam, Kamarajapuram, Camp Road, Tambaram East, Tambaram West, Vandalur Zoo"
500V,Chengalpattu,Velachery,Guindy Pallvaram Vandalur Zoo
577,Chengalpattu,Mandaveli,"Singaperumal Koil, Maraimalai Nagar IE, Guduvancherry, Vandalur Zoo, Tambaram, Pallavaram, Guindy, Adyar, AMS"
