No,Start,Destination,Route
M70 xt,Anna Nagar West,Thiruvanmiyur,"Thirumangalam, CMBT, Vadapalani, Ashok nagar, Guindy, Checkpost, Velacherry, Taramani, SRP tools, Jayanthi"
7F,Anna Nagar West,Broadway,"Central R.S, Vepery, Purasaiwakkam, Kellys, Kilpauk Gardens, Chinthamani, Thirumangalam"
15,Anna NagarWest,Broadway,
15A,Anna Nagar West,Broadway,Kilpauk
15D,Anna Nagar West,Broadway,"Dasaprakash, Anna Hospital, 14 Shops"
23M extn,Anna Nagar West,Thiruvanmiyur,"Adyar, Gandhi mandapam, Little mount, Saidapet, T.Nagar, Panagal park, Liberty, Power house, Vadapalani, MMDA Colony, CMBT, Thirumangalam"
24A,Anna Nagar West,V House,"Shanthi Colony, K4 Police station, Chinthamani, Aminijikarai, Chetpet, Gemini, Royapetah"
27C cut,Anna nagar West,T. Nagar,"Panagal park, Bharathinagar, Liberty, Power house, Vadapalani, MMDA Colony, CMBT, Thirumangalam"
41C,Anna Nagar West,Thiruvanmiyur,"Adyar Depot, Adyar, AMS, Mandaveli, Mylapore, Luz, Alwarpet, DMS, Gemini, Sterling Road, Chetpet, KMC, Amijikarai, Rountana, Thirumangalam"
2A,Anna Square,"M.K.B Nagar""","Vyasarpadi, Basin Bridge, Regal, Elephant gate, Central R.S, PR & sons, Walaja Road, Bells Road"
2A xt,Anna Square,Kaviarasu Kannadasan Nagar,M.K.B Nagar
C2,Anna Square,Anna Square,"Ezhilagam, Triplicane, Chepauk, Wallaja Road, Pallavan Road, Central, Regal, Vallalar Nagar, Royapuram bridge, Beach Road, Parrys, Secretariat"
12G,Anna Square,K K Nagar,"MGR Nagar, Ashok Pillar, West Mambalam, Alwarpet, Luz"
25G,Anna Square,Poonamallee,"Kannaki Statue, V.House, Royapettah, Palmgrove, Liberty, Vadapalani, Porur, lyyapanthangal, Kumananchavadi"
27E,Anna Square,"Elango nagar officer colony""","Collector nagar, Thirumangalam, Rountana, Amijikarai, KMC, Egmore RS, Zimson, Triplicane, Kannaki Statue"
27H,Anna Square,Avadi,"Triplicane, LIC, DPI, Sterling Road, Anna Arch, Thirumangalam, Padi, Ambattur OT"
27H xt,Anna Square,Pattabiram,"Triplicane, LIC, DPI, Sterling Road, Anna Arch, Thirumangalam, Padi, Ambattur OT, Avadi"
27L,Anna Square,Mogappair West,"Triplicane, Ethiraj College, Loyola College, Choolaimedu, Thirumangalam"
27R,Anna Square,Oragadam,"Triplicane, LIC, DPI, Sterling Road, Choolaimedu, Anna Arch, Thirumangalam, Vavin, Ambattur I.E, Ambattur OT"
40,Anna Square,Meenambedu,"Triplicane, Pudhupet, Egmore, Dasaprakash, Taylors road, ICF, Nathamuni, Lucas, Ambathur IE, Ambathur OT, Venkatapuram"
40A,Anna Square,Avadi,"Triplicane, LIC, Egmore, KMC, Aminjikarai, Chinthamani, Blue Star, Collector Nagar, Ambattur OT"
45B,Anna Square,Guindy,"Saidapet, Nandanam, Teynampet, Alwarpet, Luz, Chennai Citi Centre"
45G,Anna square,Guindy,"Marina Beach, Chennai Citi Centre, Mylapore, Mandaveli, Adyar Gate, Nandanam, CIT Nagar, Srinivasa, Mettupalayam, Saidapet West"
M45B,Anna Square,Nanganallur,"Saidapet, Nandanam, Teynampet, Alwarpet, Luz, Chennai Citi Centre"
M45E,Anna Square,Kilkattalai,"Triplicane, Chennai Citi Centre, Luz, Saidapet, Velachery"
127B,Anna Square,Thiruverkadu,"Maduravoyal, KoyambeduMarket, Amijikarai, KMC, Chetpet, EgmoreR.S, Chindhatripet, Triplicane"
127H,Anna Square,Villivakkam,"Triplicane, LIC, DPI, Sterling Road, Anna Arch, Thirumangalam, Nadhamuni"
13A,Anna Square,T.Nagar,"Triplicane, Zambazzar, Express Avenue, Royapettah, Gopalapuram playground, Sapphire, LFC, Vanimahal"
22,Anna Square,Ayanavaram,"Egmore, Triplicane, Kannagi statue"
22B,Anna Square,Korattur,"Lucas, Nathamuni, ICF, Ayanavaram, Kellys, Purasaiwakkam, Egmore, Triplicane, Kannagi statue"
27B,Anna Square,CMBT,"Koyambedu, Arumbakkam, NSK nagar, Amijikarai, KMC, Chetpet, MMC School, Egmore RS, Chindatripet, Zimson, Triplicane, Kannaki Statue"
29A,Anna Square,Perambur,"Otteri, Devoton, Egmore, Pudhupet, Walaja Road, Bells Road, Triplicane"
M45A,Anna Square,Velachery,"Saidapet, Nandanam, Adyar Gate"
242xt,Anna Square,Red Hills,
61C,Avadi,Muthapudupet,"HVF Hospital, HVF Main Gate"
61K,Avadi,Kaniyamman Nagar,"HVF Hospital, Kovilpadagai, Veerapuram"
61R,Avadi,Red Hills,"HVF Hospital, Kovilpadagai, Vellanur, Veerapuram, Kadavoor"
62,Avadi,Red Hills,"Thirumullaivoyal, Ambathur OT, Pudur, Kallikuppam, Surapedu, Puzhal, Bypass road, Kavangarai, Ayurveda Ashramam"
65,Avadi,Poonamallee,"Govardhanagiri, Mettupalayam, Kaduveti, Karaiyanchavadi"
65D,Avadi,Melkondaiyur,"Pattabiram, Thirunindravur"
65G,Avadi,Meyyur,"Pattabiram, Thirunindravur"
65H,Avadi,Red Hills,"Pattabiram, Thirunindravur"
65K,Avadi,Poonamallee,"Govardhanagiri, Mettupalayam Rd JN, Parivakkam Rd JN, Kaduveti, Karaiyanchavadi"
70,Avadi,Tambaram,"Ambattur, Padi, Thirumangalam, CMBT, Vadapalani, Ashok Pillar, Chennai Airport, Pallavaram, Chromepet"
70A,Avadi,Vandalur Zoo,Tambaram
70B,Avadi,Chromepet Lakshmi,"Ambattur OT, Collector Nagar, CMBT, Vadapalani, Udhayam, Pallavaram"
A70,Avadi,Pallavaram,"Ambattur, Padi, Thirumangalam, CMBT, Vadapalani, Ashok Pillar, Kathipara, Chennai Airport"
266,Avadi,Tambaram,"Govardhanagiri, Kaduveti, Karaiyanchavadi, Kumananchavadi, Mangadu, Kundrathur, Pallavaram"
565A,Avadi,Sunguvarchatiram,"Govardhanagiri, Karaiyanchavadi, Poonamallee, Irrunkatturkottai, Sriperumbudur"
580,Avadi,Arani,"Pattabiram, Thiruninravur, Pakkam, Tamaraipakkam, Vadamadurai, Periyapalayam Koot road"
580M,Avadi,Malanthur,"Pattabiram, Thiruninravur, Pakkam, Tamaraipakkam, Vengal, Vengal Koot road"
24C,Avadi,V House,"Ambattur OT, Collector Nagar, Blue Star, Chinthamani, Aminijikarai, Chetpet, Gemini, Royapetah"
27H,Avadi,Anna Square,"Triplicane, LIC, DPI, Sterling Road, Anna Arch, Thirumangalam, Padi, Ambattur OT"
40A,Avadi,Anna Square,"Triplicane, LIC, Egmore, KMC, Aminjikarai, Chinthamani, Blue Star, Collector Nagar, Ambattur OT"
