S.No,T.No,MSB,TBM,CGL,CJ,TMLP/AJJ,T.No2,AJJ/TMLP,CJ,CGL,TBM,MSB,Extra1,Extra2
83,40555,17.59,18.55,19.50,40108,17.31,18.26,,,,,,,
84,40903F,18.07,18.50,19.32/19.40,20.15,21.15/AJJNS1,40110,EF/S,7,17.37,18.32,,,
85,40101,18.14,19.09,40112,17.43,18.38,,,,,,,,
86,40557,18.21,19.16,20.10,40548,17.00,17.50,18.45,,,,,,
87,40103,18.28,19.23,42521,17.58,18.55/19.05,,,,,,,,
88,44004,20.25,21.15,AJJ,22.00,40114,EF/S,8,18.05,19.00,,,,
89,40105,18.35,19.30,40116,18.12,19.07,,,,,,,,
90,40905,18.42,19.37,20.40/20.50,21.35,22.30/AJJNS2,40550,17.30,18.19,19.14,,,,
91,40107,18.49,19.44,40118,18.26,19.21,,,,,,,,
92,40109,18.56,19.51,40120,18.33,19.28,,,,,,,,
93,40559,19.05,20.00,20.50,40552,17.45,18.40,19.35,,,,,,
94,40111,19.12,20.07,NTS,1,40122,18.50,19.45,,,,,,
95,40113,19.19,20.14,40124,18.57,19.52,,,,,,,,
96,40703,19.26,20.21,21.22/21.30,22.15,CJ,NS,1,40554,18.10,19.05,20.00,,
97,40115,19.33,20.28,NTS,2,40126,19.15,20.10,,,,,,
98,40117,19.41,20.36,40556,18.30,19.30,20.25,,,,,,,
99,40805,19.50,20.45,21.42/21.50,22.30,22.50/TMLPNS1,40906,AJJ,17.15,17.55,18.45/18.55,19.45,20.30,
100,40119,19.57,20.52,40132,20.00,20.55,,,,,,,,
101,40561,20.05,21.00,21.55,CGL,NS,1,40558,19.10,20.10,21.05,,,
102,40121,20.15,21.10,40560,19.30,20.20,21.15,,,,,,,
103,40123,20.25,21.20,NTS,3,40134,20.30,21.25,,,,,,
104,40127,20.35,21.30,40138,20.45,21.40,,,,,,,,
105,40563,20.45,21.45,22.40,40562,20.05,21.00,21.55,,,,,,
106,40131,20.55,21.50,NTS,6,40140,21.15,22.10,,,,,,
107,40133,21.10,22.05,NTS,7,40564,20.30,21.30,22.25,,,,,
108,40565,21.20,22.15,23.10,CGL,NS,2,44003,18.15,18.35,19.00,20.15,,
109,40135,21.30,22.25,NTS,8,40144,21.45,22.40,,,,,,
110,40137,21.40,22.35,40566,21.10,22.00,22.55,,,,,,,
111,40567,22.00,22.55,23.40,CGL,NS,3,40806,TMLP,20.00,20.25,21.27/21.35,22.20,23.15
112,40141,22.20,23.15,40146,22.40,23.35,,,,,,,,
113,40569,22.40,23.35/40,0.40,CGL,NS,4,40568,22.10,23.00,23.55,,,
114,40145,23.05,0.00,NTS,10,40148,23.20,0.15,,,,,,
115,40147,23.30,0.25,NTS,11,40150,23.40,0.35,,,,,,
116,40149,23.59,0.54,NTS,12,40570,23.00,23.55/59,0.54,,,,,
