S.No,T.No,VLCY,MSB,MMC,AVD,PTMS,TRL,AJJ,TRT,T.No2,TRT,AJJ,TRL,PTMS,AVD,MMC,MSB,VLCY
72,43417,15.50,16.30,17.00,17.45,43668,14.45,15.45,16.30,,,,,,,,,
73,66011,16.00,16.40,17.10,18.00,MEMU,43422,13.50,14.25,14.55,15.45,,,,,,,
74,43117,16.10,16.50,17.20,43232,14.40,15.10,16.00,,,,,,,,,,
75,66053,16.00,16.55,17.30,MEMU,43120,15.10,15.28,16.20,,,,,,,,,
76,43851,17.05,17.45,43234,15.05,15.33,16.30,,,,,,,,,,,
77,43235,16.30,17.10,17.50,43514,14.20,14.40,15.20,15.50,16.40,,,,,,,,
78,43421,16.45,17.25,17.55,18.40,43236,15.40,16.08,17.00,,,,,,,,,
79,43237,17.00,17.40,18.15,43670,16.15,17.15,18.00,,,,,,,,,,
80,43423,17.15,17.55,18.25,19.10,06728F,15.30,16.05,M/L,16.25,17.15,MEMU,,,,,,
81,43239,17.25,18.05,18.40,43020,16.30,17.20,,,,,,,,,,,
82,43797,16.35,17.20,18.10,18.35,43238,16.05,16.35,17.25,,,,,,,,,
83,43515,17.40,18.20,18.50,19.30/45,20.10,43672,F/SHED,16.40,17.30,18.15,,,,,,,
84,66013F,17.45,18.33,19.25,MEMU,43122,16.25,16.44,17.30,,,,,,,,,
85,43769,16.50,17.40,18.28,19.05,43424,15.40,16.15,16.50,17.45,,,,,,,,
86,43241,17.55,18.35,19.10,43674,17.00,17.55,18.40,,,,,,,,,,
87,43427,18.05,18.45,19.15,20.05,43516,15.45,16.05,16.40,17.10,18.05,,,,,,,
88,43119,18.15,18.55,19.25,43938,16.15,16.50,17.20,18.25,19.10,,,,,,,,
89,06033,18.00,18.55,19.33/35,VLR,21.45,43242,17.05,17.30,18.20,,,,,,,,
90,43933,17.15,18.10,19.05,19.35,20.20,43244,17.15,17.43,18.35,,,,,,,,
91,43943,17.35,18.30,19.00,19.15,20.25,21.00,43124,17.30,17.48,18.40,,,,,,,
92,43243,18.25,19.05,19.45,43676,17.50,18.45,19.30,,,,,,,,,,
93,43429,18.40,19.20,19.50,20.40,43426,16.50,17.30,18.00,18.50,,,,,,,,
94,43245,18.50,19.30,20.05,66012,17.40,18.10,19.00,MEMU,,,,,,,,,
95,43517,19.00,19.40,20.10,20.55,21.30,43766,17.55,18.23,19.25,20.10,,,,,,,
96,66021F,19.10,N/S,19.30,20.30,43518,17.00,17.22,18.00,18.28,19.20,,,,,,,
