Bus No,Stop Order,Stop Name
28,3,Vallalarnagar
28,4,Regal
28,5,Central RS
28,6,Chindatripet
28,7,Thiruvotriyur
28A,0,Egmore R.S
28A,1,Andankuppam
28A,2,Thiruvottriyur
28A,3,Tollgate
28A,4,Tondiarpet
28A,5,Vallalarnagar
28A,6,Regal
28A,7,Central RS
28A,8,Manali
28B,0,Egmore R.S
28B,1,Ernavoor
28B,2,Thiruvottriyur
28B,3,Tollgate
28B,4,Tondiarpet
28B,5,Vallalarnagar
28B,6,Regal
28B,7,Central RS
28B,8,Chindatripet
28B,9,Ennore
10E,0,Ekkadutha ngal
10E,1,Central R.S
10E,2,Egmore R.S
10E,3,Maternity Hospital
10E,4,DPI
10E,5,Sterling road
10E,6,Valluvar Kottam
10E,7,Panagal park
10E,8,T.Nagar
10E,9,Srinivasa Theater
10E,10,Mettupalayam
10E,11,Ashok Nagar
10E,12,Jaffarkhanpet
10E,13,Broadway
88E,0,Ekkadttuth angal
88E,1,Koovoor
88E,2,Periyapannicherry
88E,3,Baikadai
88E,4,Porur
88E,5,Guindy
88E,6,Kundrathur
K18 cut,0,Ekkadutha ngal
K18 cut,1,Central R.S
K18 cut,2,Simpson
K18 cut,3,LIC
K18 cut,4,TVS
K18 cut,5,DMS
K18 cut,6,Teynampet
K18 cut,7,Nandanam
K18 cut,8,Saidapet
K18 cut,9,Guindy
K18 cut,10,CIPET
K18 cut,11,Broadway
M21G xt,0,Ekkadutha ngal
M21G xt,1,Secretariat
M21G xt,2,Kannaki Statue
M21G xt,3,QMC
M21G xt,4,Kalyani Hospital
M21G xt,5,Sanskrit College
M21G xt,6,Luz
M21G xt,7,Mylapore
M21G xt,8,Mandaveli BS
M21G xt,9,Adyar Gate
M21G xt,10,Kotturpuram
M21G xt,11,Anna university
M21G xt,12,Guindy
M21G xt,13,Broadway
154E,0,Ekkadutha ngal
154E,1,Poonamallee
154E,2,Kumananchavadi
154E,3,Porur
154E,4,Guindy
154E,5,Vellavedu
M70D,0,Elango Nagar (Collector Nagar)
M70D,1,Thirumangalam
M70D,2,CMBT
M70D,3,Vadapalani
M70D,4,Ashok Pillar
M70D,5,Guindy
27E,0,Elango nagar officer colony
27E,1,Collector nagar
27E,2,Thirumangalam
27E,3,Rountana
27E,4,Amijikarai
27E,5,KMC
27E,6,Egmore RS
27E,7,Zimson
27E,8,Triplicane
27E,9,Kannaki Statue
27E,10,Anna Square
1E,0,Ennore
1E,1,Chromepet
1E,2,Pallavaram
1E,3,Guindy
1E,4,Teynampet
1E,5,D.M.S
1E,6,L.I.C
1E,7,Central R.S
1E,8,Parry's Corner
1E,9,Kalmandapam
1E,10,Tollgate
1E,11,Thiruvottiyur
1E,12,Tambaram
1D,0,Ennore
1D,1,Adyar
1D,2,Mylapore
1D,3,Royapettah
1D,4,Parry's Corner
1D,5,Kalmandapam
1D,6,Thalankuppam
1D,7,Thiruvanmiyur
28B,0,Ennore
28B,1,Ernavoor
28B,2,Thiruvottriyur
28B,3,Tollgate
28B,4,Tondiarpet
28B,5,Vallalarnagar
28B,6,Regal
28B,7,Central RS
28B,8,Chindatripet
28B,9,Egmore R.S
48B,0,Ennore
48B,1,Venus
48B,2,Perambur
48B,3,Moolakadai
48B,4,Madhavaram
48B,5,Mathur Koot road
48B,6,Manali Koot road
48B,7,Sathyamoorthy nagar
48B,8,Ernavoor
48B,9,Ashok Leyeland
48B,10,Thiru.Vi.Ka Nagar
56 xt,0,Ennore
56 xt,1,V.Nagar
56 xt,2,Tondiarpet
56 xt,3,Thiruvottriyur
56 xt,4,Ernavoor
56 xt,5,Ashok Leyland
56 xt,6,Broadway
56A,0,Ennore
56A,1,V Nagar
56N,0,Ennore
56N,1,Broadway
121C,0,Ennore
121C,1,Ernavoor gate
121C,2,MFL
121C,3,CPCL
121C,4,Manali
121C,5,Madhavaram Milk Colony
121C,6,Thapal petti
121C,7,Moolakadai
121C,8,Retteri
121C,9,Lucas
121C,10,Thirumangalam
121C,11,CMBT
157E,0,Ennore
157E,1,Puzhal
157E,2,Moolakadai
157E,3,Sharma Nagar
157E,4,M.K.B Nagar
157E,5,Korukkupettai
157E,6,Tondaripet
157E,7,Tollgate
157E,8,Theradi
157E,9,Thiruvottiyur
157E,10,Red Hills
159E,0,Ennore
159E,1,Ashok Leyland
159E,2,Ernavoor Gate
159E,3,Thiruvottriyur
159E,4,Therady
159E,5,Tollgate
159E,6,Tondiarpet
159E,7,V.Nagar
159E,8,Regal
159E,9,Choolai P.O.
159E,10,Purasawakkam High Road
159E,11,Kellys
159E,12,Aminjikarai
159E,13,Arumbakkam
159E,14,CMBT
12B xt,0,Foreshore Estate
12B xt,1,CMBT
12B xt,2,MMDA Colony
12B xt,3,Vadapalani
12B xt,4,Kodambakkam
12B xt,5,Pondy Bazaar
12B xt,6,Alwarpet
12B xt,7,Luz
12B xt,8,Santhome
12B xt,9,Koyambedu Ma rket
12B xt,0,Foreshore Estate
12B xt,1,Porur
12B xt,2,Virugambakkam
12B xt,3,Vadapalani
12B xt,4,Liberty
12B xt,5,Pondy Bazaar
12B xt,6,Alwarpet
12B xt,7,Luz
12B xt,8,Santhome
12B xt,9,Iyyapanthangal
27D,0,Foreshore Estate
27D,1,Santhome
27D,2,AIR
27D,3,V.M.Street
27D,4,Stella Maris College
27D,5,Thousand Lights
27D,6,LIC
27D,7,Pudhupet
27D,8,Maternity Hospital
27D,9,Egmore RS
27D,10,Dasaprakash
27D,11,Purasaiwakkam
27D,12,Kellys
27D,13,Ayanavaram
27D,14,ICF
27D,15,Villivakkam
12A,0,Foreshore Estate
12A,1,Pondy bazaar
12A,2,Alwarpet
12A,3,Luz
12A,4,Santhome
12A,5,T. Nagar
M12A,0,Foreshore Estate
M12A,1,Pondy bazaar
M12A,2,Alwarpet
M12A,3,Luz
M12A,4,Santhome
M12A,5,T. Nagar
32A,0,Foreshore Estate
32A,1,Maharani
32A,2,Tondiarpet
32A,3,Vallalar nagar
32A,4,Broadway
32A,5,Central R.S.
32A,6,Triplicane
32A,7,V.House
32A,8,AIR
32A,9,Santhome
32A,10,Tollgate
55B,0,Guduvanch erry
55B,1,Oorapakkam
55B,2,Vandalur Zoo
55B,3,Perugalathur
55B,4,Tambaram
55B,5,Kannadapalayam
55B,6,Pazhanthandala m
E18,0,Guduvanch ery
E18,1,LIC
E18,2,TVS
E18,3,Saidapet
E18,4,Guindy
E18,5,Pallavaram
E18,6,Tambaram
E18,7,Vandalur Zoo
E18,8,High Court
G18,0,Guduvanch ery
G18,1,Saidapet
G18,2,Guindy
G18,3,Pallavaram
G18,4,Chromepet
G18,5,Tambaram
G18,6,Vandalur Zoo
G18,7,T.Nagar
M18,0,Guduvanch ery
M18,1,Vandalur Zoo/Arignar Anna Zoological Park
M18,2,Tambaram
M18N,0,Guduvanch ery
M18N,1,Pazhavanthangal
M18N,2,Pallavaram
M18N,3,Chromepet
M18N,4,Tambaram
M18N,5,Vandalur Zoo
M18N,6,Oorapakkam
M18N,7,Nanganallur
T51S,0,Guduvanch ery
T51S,1,Vandalur
T51S,2,Tambaram East
T51S,3,Camp Road
T51S,4,Medavakkam
T51S,5,Sholinganallur
T51S,6,Okkiam Thoraippakkam
555G,0,Guduvanch ery
555G,1,Urapakkam
555G,2,Vandalur
555G,3,Mambakkam
555G,4,Kelambakkam
21J,0,Guduvanch ery
21J,1,Pallikkaranai
21J,2,Medavakkam
21J,3,Kamarajapuram
21J,4,Camp Road
21J,5,Poondi Bazar
21J,6,Tambaram Sanatorium
21J,7,Tambaram West
21J,8,Vandalur
21J,9,Velachery
V21,0,Guduvanch ery
V21,1,SRP
V21,2,Taramani
V21,3,Velachery
V21,4,Kamatchi Hospital
V21,5,Chromepet
V21,6,Tambaram
V21,7,Thiruvanmiyur
PP21,0,Guduvanch ery
PP21,1,Secretariat
PP21,2,Chepauk
PP21,3,Q.M.C
PP21,4,Fore Shore Estate
PP21,5,Adyar Bus Stand
PP21,6,Guindy
PP21,7,Pallavaram
PP21,8,Chromepet
PP21,9,Tambaram
PP21,10,Vandalur Zoo
PP21,11,Broadway
M52,0,Guduvanch ery
M52,1,Pallavaram
M52,2,Chromepet
M52,3,Tambaram
M52,4,Perungalathur
M52,5,Vandalor Zoo
M52,6,Pozhichalur
70V,0,Guduvanch ery
70V,1,Vadapalani
70V,2,Pallavaram
70V,3,Tambaram
70V,4,Koyambedu
G70,0,Guduvanch ery
G70,1,Udhayam Theater
G70,2,Pallavaram
G70,3,Tambaram
G70,4,Vandalur Zoo
G70,5,Vadapalani
118P,0,Guduvanch ery
118P,1,Aadambakkam
118P,2,Guindy
118P,3,Pallavaram
118P,4,Tambaram
118P,5,Zoo
118P,6,Puzhuthivakka m
170K,0,Guduvanch ery
170K,1,V.Z00
170K,2,Tambaram
170K,3,Pallavaram
170K,4,Guindy
170K,5,Udhayam
170K,6,Vadapalani
170K,7,CMBT
170K,8,Anna Nagar
170K,9,Padi
170K,10,Ambattur I.E
170K,11,Ambattur O.T
119G,0,Guindy
119G,1,Velachery
119G,2,Navalur
119G,3,Kelambakkam
J170,0,Guindy
J170,1,Ashok pillar
J170,2,K.K.Nagar BS
J170,3,MGR nagar
J170,4,Nesapakkam
J170,5,West K.K.nagar
J170,6,Avichi School
J170,7,Virugambakkam
J170,8,Chinmaya Nagar
J170,9,Koyambedu Market
J170,10,CMBT
18,0,Guindy
18,1,Central R.S
18,2,Zimson
18,3,Shanthi Theater
18,4,LIC
18,5,TVS
18,6,Thousand Lights
18,7,DMS
18,8,Vanavil
18,9,SIET
18,10,Defence Accounts office
18,11,Nandanam
18,12,Saidapet
18,13,Broadway
18F,0,Guindy
18F,1,Central R.S
18F,2,Simpson
18F,3,LIC
18F,4,TVS
18F,5,DMS
18F,6,Nandanam
18F,7,CIT Nagar
18F,8,Srinivasa
18F,9,Mettupalayam
18F,10,Saidapet West
18F,11,Broadway
M21G,0,Guindy
M21G,1,Secretariat
M21G,2,Kannaki Statue
M21G,3,QMC
M21G,4,Kalyani Hospital
M21G,5,Sanskrit College
M21G,6,Luz
M21G,7,Mylapore
M21G,8,Mandaveli BS
M21G,9,Adyar Gate
M21G,10,Kotturpuram
M21G,11,Anna university
M21G,12,Broadway
45B,0,Guindy
45B,1,Saidapet
45B,2,Nandanam
45B,3,Teynampet
45B,4,Alwarpet
45B,5,Luz
45B,6,Chennai Citi Centre
45B,7,Anna Square
45G,0,Guindy
45G,1,Marina Beach
45G,2,Chennai Citi Centre
45G,3,Mylapore
45G,4,Mandaveli
45G,5,Adyar G ate
45G,6,Nandanam
45G,7,CIT Nagar
45G,8,Srinivasa
45G,9,Mettupalayam
45G,10,Saidapet West
45G,11,Anna square
M70D,0,Guindy
M70D,1,Thirumangalam
M70D,2,CMBT
M70D,3,Vadapalani
M70D,4,Ashok Pillar
M70D,5,Elango Nagar (Collector Nagar)
M119,0,Guindy
M119,1,Velachery
M119,2,SRP
M119,3,Perungudi
M119,4,Semmencheri
M119B,0,Guindy
M119B,1,Saidapet
M119B,2,GandhiMandapam
M119B,3,Adyar
M119B,4,Thi ruvanmiyur
M119B,5,Semmencheri
B70,0,Guindy Estate
B70,1,Avadi
B70,2,Ambattur OT
B70,3,Padi
B70,4,CMBT
B70,5,Vadapalani
B70,6,Udhayam
B70,7,CIPET
B70,8,Pattabiram
C70,0,Guindy Estate
C70,1,Ashok nagar
C70,2,Vadapalani
C70,3,CMBT
C70,4,Thirumangalam
C70,5,Anna nagar west
C70,6,Padi
C70,7,Thathankuppam
C70,8,Kolathur
C70,9,Retteri
C70,10,Puzhal
C70,11,Kavangarai
C70,12,Ayurveda Ashramam
C70,13,Red Hills
C70xt,0,Guindy Estate
C70xt,1,Ashok nagar
C70xt,2,Vadapalani
C70xt,3,CMBT
C70xt,4,Thirumangalam
C70xt,5,Anna nagar west
C70xt,6,Padi
C70xt,7,Thathankuppam
C70xt,8,Kolathur
C70xt,9,Retteri
C70xt,10,Puzhal
C70xt,11,Kavangarai
C70xt,12,Ayurveda Ashramam
C70xt,13,Red Hills
C70xt,14,Padiyanallur
170C,0,Guindy Estate
170C,1,Kolathur
170C,2,Retteri
170C,3,Thirumangalam
170C,4,CMBT
170C,5,Vadapalani
170C,6,Ashok Pillar
170C,7,TVK Nagar
170C xt,0,Guindy Estate
170C xt,1,Madhavaram Milk colony
170C xt,2,Thapal petti
170C xt,3,Moolakadai
170C xt,4,TVK Nagar
170C xt,5,Retteri
170C xt,6,Thirumangalam
170C xt,7,CMBT
170C xt,8,Vadapalani
170C xt,9,Manali
F70,0,Guindy TV K Estate
F70,1,Avadi
F70,2,Ambattur I.E
F70,3,Lucas
F70,4,Anna Nagar West
F70,5,Koyambedu market
F70,6,CMBT
F70,7,Vadapalani
F70,8,West Saidapet
F70,9,Pattabiram
J70,0,Guindy I.E
J70,1,Collector Nagar
J70,2,CMBT
J70,3,Vadapalani
J70,4,Udhayam Theater
J70,5,Mogappair West
M70V,0,Guindy TVK Estate
M70V,1,Collector Nagar
M70V,2,Vadapalani
M70V,3,Ambattur I.E
170D,0,Guindy Estate
170D,1,Moolakadai
170D,2,Retteri
170D,3,Thirumangalam
170D,4,CMBT
170D,5,Vadapalani
170D,6,Ashok Pillar
170D,7,Ekkattuthangal
170D,8,Kannadasan Nagar
52B,0,Hasthinapu ram
52B,1,Chromepet
52B,2,Pallavaram
52B,3,Guindy
52B,4,Saidap et
52B,5,DMS
52B,6,TVS
52B,7,LIC
52B,8,Central RS
52B,9,Highcourt
52C,0,Hasthinapu ram
52C,1,Chromepet
52C,2,Pallavaram
52C,3,Guindy
52C,4,Saidap et
52C,5,T.Nagar
66A,0,Hasthinapu ram
66A,1,Anakaputhur
66A,2,Pammal
66A,3,Pallavaram
66A,4,Chromepet
66A,5,Kundrathur
152B,0,Hasthinapu ram
152B,1,Chromepet
152B,2,Pallavaram
152B,3,Guindy
152B,4,Adayar B.S
152B,5,Mandaveli
152B,6,Mylapore
152B,7,LUZ
152B,8,QMC
152B,9,V.House
152B,10,Secretariat
152B,11,High Court
M18G,0,Hasthinapu ram
M18G,1,Chromepet
M18G,2,Tambaram
M18G,3,Vandalur Zoo
M18G,4,Guduvanchery
500A,0,Hasthinapu ram
500A,1,Singaperumal Koil
500A,2,Maraimalai nagar IE
500A,3,Guduvancherry
500A,4,Vandalur Zoo
500A,5,Tambaram
500A,6,Tambaram Sanatorium
500A,7,Nehru nagar(Chromepet)
500A,8,Kumaran Kundram
500A,9,Chengalpattu
3A,0,High Court
3A,1,Mylapore
3A,2,Luz
3A,3,Alwarpet
3A,4,Royapetah
3A,5,L.I.C
3A,6,Central
3A,7,Mandaveli
8B,0,High Court
8B,1,Parrys
8B,2,V.Nagar
8B,3,Puliantope
8B,4,Pattalam
8B,5,Jamalaya
8B,6,Venus
8B,7,T.V.K Nagar
11G,0,High Court
11G,1,MGR Nagar
11G,2,Ashok Pillar
11G,3,Pangal Park
11G,4,Annasalai
11G,5,Central R.S
11G,6,Parry's Corner
11G,7,K K Nagar
11H,0,High Court
11H,1,Virugambakkam
11H,2,K.K.Nagar
11H,3,Pondy Bazaar
11H,4,Anna Salai
11H,5,Marina Beach
11H,6,Iyyapanthangal
M12,0,High Court
M12,1,Gopalapuram
M12,2,Teynampet
M12,3,Velachery
M12,4,Kilkattalai
51P,0,High Court
51P,1,Gunidy Race Course
51P,2,Puzhudivakkam BS
D51,0,High Court
D51,1,Medavakkam
D51,2,Pallikkaranai
D51,3,Velachery
D51,4,Guindy Race Course
D51,5,DMS
D51,6,LIC
D51,7,Central R.S
D51,8,Medavakkam koot road
D51 xt,0,High Court
D51 xt,1,Sithalapakkam Koot road
D51 xt,2,Medavakkam
D51 xt,3,Pallikkaranai
D51 xt,4,Velachery
D51 xt,5,Guindy Race Course
D51 xt,6,DMS
D51 xt,7,LIC
D51 xt,8,Central R.S
D51 xt,9,SithalapakkamT NHB Colony
E51,0,High Court
E51,1,Arasan kazhani
E51,2,Sithalapakkam
E51,3,Sithalapakkam Koot road
E51,4,Medavakkam
E51,5,Pallikkaranai
E51,6,Velachery
E51,7,Guindy Race Course
E51,8,DMS
E51,9,LIC
E51,10,Central R.S
E51,11,Ottiambakkam
PP51,0,High Court
PP51,1,Selaiyur
PP51,2,Camp Road
PP51,3,Medavakkam
PP51,4,Pallikaranai
PP51,5,Velachery
PP51,6,Anna University
PP51,7,Adyar
PP51,8,Sathyastudio
PP51,9,MRC Nagar
PP51,10,Foreshore Estate
PP51,11,Santhome
PP51,12,AIR
PP51,13,Anna Square
PP51,14,Tambaram East
PP51 cut,0,High Court
PP51 cut,1,Camp Road
PP51 cut,2,Medavakkam
PP51 cut,3,Pallikaranai
PP51 cut,4,Velachery
PP51 cut,5,Anna University
PP51 cut,6,Adyar
PP51 cut,7,Sathyastudio
PP51 cut,8,MRC Nagar
PP51 cut,9,Foreshore Estate
PP51 cut,10,Santhome
PP51 cut,11,AIR
PP51 cut,12,Anna Square
PP51 cut,13,Padhuvancherry
52E,0,High Court
52E,1,Chromepet
52E,2,Pallavaram
52E,3,Guindy
52E,4,Saidapet
52E,5,DMS
52E,6,TVS
52E,7,LIC
52E,8,Central RS
52E,9,Nemilicheri
52G,0,High Court
52G,1,Pallavaram
52G,2,Guindy
52G,3,Saidapet
52G,4,DMS
52G,5,TVS
52G,6,LIC
52G,7,Central RS
52G,8,Cowl Bazaar
52K,0,High Court
52K,1,Nanganallur
52K,2,Aasargana
52K,3,Guindy
52K,4,Anna Salai
52K,5,Keelkattalai
52L,0,High Court
52L,1,Aasargana
52L,2,Guindy
52L,3,Anna Salai
52L,4,Nanganallur
54L,0,High Court
54L,1,Poonamallee
54L,2,Kumananchavadi
54L,3,SRMC
54L,4,Porur
54L,5,Guindy
54L,6,Saidapet
54L,7,DMS
54L,8,TVS
54L,9,LIC
54L,10,Central R.S
54L,11,Vellavedu
54M,0,High Court
54M,1,Paraniputhur
54M,2,Baikadai
54M,3,Moulivakkam
54M,4,Porur
54M,5,Guindy
54M,6,Saidapet
54M,7,DMS
54M,8,TVS
54M,9,LIC
54M,10,Central R.S
54M,11,Mangadu
54T,0,High Court
54T,1,Poonamallee
54T,2,Kumananchavadi
54T,3,SRMC
54T,4,Porur
54T,5,Guindy
54T,6,Saidapet
54T,7,DMS
54T,8,TVS
54T,9,LIC
54T,10,Central R.S
54T,11,Chembarambak kam
57F,0,High Court
57F,1,Beach R.S
57F,2,Stanley
57F,3,Mint
57F,4,Basin Bridge
57F,5,Vyasarpadi
57F,6,Moolakadai
57F,7,Puzhal
57F,8,Red hills
57F,9,Karanodai
A57,0,High Court
A57,1,Beach R.S
A57,2,Stanley
A57,3,Mint
A57,4,Basin Bridge
A57,5,Vyasarpadi
A57,6,Moolakadai
A57,7,Puzhal
A57,8,Red hills
A57,9,Padiyanallur
88A,0,High Court
88A,1,Sirukalathur
88A,2,Kundrathur
88A,3,Koovoor
88A,4,Peri yapannicherry
88A,5,Baikadai
88A,6,Porur
88A,7,Valasara wakkam
88A,8,Virugambakkam
88A,9,Vadapalani
88A,10,Liberty
88A,11,Gemini
88A,12,LIC
88A,13,Central R.S
88A,14,Nandambakkam
88R,0,High Court
88R,1,Gunidy
88R,2,Porur
88R,3,Kundrathur
88R,4,Somangalam
88R,5,Amarambedu
88M,0,High Court
88M,1,Gunidy
88M,2,Porur
88M,3,Kundrathur
88M,4,Somangalam
118A,0,HighCourt
118A,1,LIC
118A,2,TVS
118A,3,Saidapet
118A,4,Guindy
118A,5,Pallavaram
118A,6,Tambaram
118A,7,Vandalur Zoo
118A,8,Kolapakkam
118A,9,U.Mandaveli
118A,10,Oonamancheri
151,0,High Court
151,1,Secretariat
151,2,Marina Beach
151,3,Santhome
151,4,Adyar
151,5,Anna university
151,6,Velachery
151,7,Pallikkaranai
151,8,Medavakkam
151,9,Kamarajapuram
151,10,Rajakeelpakkam
151,11,Madambakkam
151,12,Vengaivasal P.H. Centre
254,0,High Court
254,1,SRMC
254,2,Porur
254,3,Ramapuram
254,4,Guindy
254,5,Saidapet
254,6,SIET
254,7,DMS
254,8,TVS
254,9,LIC
254,10,Central R.S.
254,11,Iyyapanthangal
500B,0,High Court
500B,1,Maraimalai nagar IE
500B,2,Guduvancherry
500B,3,Vandalur Zoo
500B,4,Tambaram
500B,5,Pallavaram
500B,6,Guindy
500B,7,Saidapet
500B,8,DMS
500B,9,Central R.S
500B,10,S.P.KOIL
A18,0,High Court
A18,1,LIC
A18,2,TVS
A18,3,Saidapet
A18,4,Guindy
A18,5,Pallavaram
A18,6,Chromepet
A18,7,Tambaram
A18,8,Vandalur Zoo
E18,0,High Court
E18,1,LIC
E18,2,TVS
E18,3,Saidapet
E18,4,Guindy
E18,5,Pallavaram
E18,6,Tambaram
E18,7,Vandalur Zoo
E18,8,Guduvanchery
E18 xt,0,High Court
E18 xt,1,LIC
E18 xt,2,TVS
E18 xt,3,Saidapet
E18 xt,4,Guindy
E18 xt,5,Pallavaram
E18 xt,6,Tambaram
E18 xt,7,Vandalur Zoo
E18 xt,8,Guduvanchery
E18 xt,9,Maraimalai nagar
A51,0,High Court
A51,1,Camp Road
A51,2,Kamarajapuram
A51,3,Medavakkam
A51,4,Pallikkaranai
A51,5,Velachery
A51,6,Guindy Race Course
A51,7,DMS
A51,8,LIC
A51,9,Central R.S
A51,10,Tambaram East
60A,0,High Court
60A,1,Kundrathur
60A,2,Andankuppam
60A,3,Anakaputhur
60A,4,Pammal
60A,5,Pallavaram
60A,6,Guindy
60A,7,Little Mount
60A,8,Saidapet
60A,9,Teynampet
60A,10,DMS
60A,11,TVS
60A,12,Simpson
60A,13,Central R.S
60A,14,Kundrathur Mu rugan Temple
88C,0,High Court
88C,1,Koovoor
88C,2,Periyapannicherry
88C,3,Baikadai
88C,4,Porur
88C,5,Guindy
88C,6,Saidapet
88C,7,DMS
88C,8,TVS
88C,9,Central R.S
88C,10,Kundrathur
88C,0,High Court
88C,1,Koovoor
88C,2,Periyapannicherry
88C,3,Baikadai
88C,4,Porur
88C,5,Guindy
88C,6,Saidapet
88C,7,DMS
88C,8,TVS
88C,9,Central R.S
88C,10,Thandalam
152B,0,High Court
152B,1,Chromepet
152B,2,Pallavaram
152B,3,Guindy
152B,4,Adayar B.S
152B,5,Mandaveli
152B,6,Mylapore
152B,7,LUZ
152B,8,QMC
152B,9,V.House
152B,10,Secretariat
152B,11,Hasthinapuram
188C,0,High Court
188C,1,Koovoor
188C,2,Periyapannicherry
188C,3,Kolapakkam
188C,4,Manapakkam
188C,5,Nandambakkam
188C,6,Butt road
188C,7,Kathipara
188C,8,GuindyI.E
188C,9,Little Mount
188C,10,Saidapet
188C,11,DMS
188C,12,LIC
188C,13,Central Railway Station
188C,14,Kundrathur
52B,0,Highcourt
52B,1,Chromepet
52B,2,Pallavaram
52B,3,Guindy
52B,4,Saidap et
52B,5,DMS
52B,6,TVS
52B,7,LIC
52B,8,Central RS
52B,9,Hasthinapuram
37E xt,0,Iyyapantha ngal
37E xt,1,M.K.B Nagar
37E xt,2,Vysarpadi
37E xt,3,V Nagar
37E xt,4,Regal
37E xt,5,Choolai P.O.
37E xt,6,Purasaiwakkam
37E xt,7,Egmore
37E xt,8,DPI
37E xt,9,Sterling Road
37E xt,10,Valluvarkottam
37E xt,11,Liberty
37E xt,12,Vadapalani
37E xt,13,Porur
37E xt,14,SRMC
37E xt,15,Kaviarasu Kannadasan Nagar
37G,0,Iyyapantha ngal
37G,1,Regal
37G,2,Choolai P.O.
37G,3,Purasaivakkam
37G,4,KMC
37G,5,Chetpet
37G,6,Ste rling road
37G,7,Valluvarkottam
37G,8,Liberty
37G,9,Vadapalani
37G,10,Porur
37G,11,SRMC
37G,12,V Nagar
M89T,0,Iyyapantha ngal
M89T,1,Porur
M89T,2,Kundrathur
M89T,3,Amarambedu
11H,0,Iyyapantha ngal
11H,1,Virugambakkam
11H,2,K.K.Nagar
11H,3,Pondy Bazaar
11H,4,Anna Salai
11H,5,Marina Beach
11H,6,High Court
12B xt,0,Iyyapantha ngal
12B xt,1,Porur
12B xt,2,Virugambakkam
12B xt,3,Vadapalani
12B xt,4,Liberty
12B xt,5,Pondy Bazaar
12B xt,6,Alwarpet
12B xt,7,Luz
12B xt,8,Santhome
12B xt,9,Foreshore Estate
17J,0,Iyyapantha ngal
17J,1,SRMC
17J,2,Porur
17J,3,Valasarawakkam
17J,4,Alwarthirunagar
17J,5,Virugambakkam
17J,6,Chinmaya nagar
17J,7,Koyambedu Market
17J,8,CMBT
17M,0,Iyyapantha ngal
17M,1,Porur
17M,2,Virugambakkam
17M,3,Vadapalani
17M,4,Kodambakkam Power house
17M,5,Liberty
17M,6,Periyar Road
17M,7,Valluvar kottam
17M,8,Gemini
17M,9,Thousand lights
17M,10,TVS
17M,11,LIC
17M,12,Simpson
17M,13,Central
17M,14,Broadway
21E,0,Iyyapantha ngal
21E,1,Porur
21E,2,Guindy
21E,3,Adayar
21E,4,Foreshore Estate
21E,5,Anna Square
21E,6,Broadway
49,0,Iyyapantha ngal
49,1,Guindy
49,2,Porur
49,3,Thiruvanmiyur
65R,0,Iyyapantha ngal
65R,1,Ambattur OT
65R,2,Avadi Market
65R,3,Karaiyanchavadi
65R,4,Kumananchavadi
65R,5,Ambattur I.E
254,0,Iyyapantha ngal
254,1,SRMC
254,2,Porur
254,3,Ramapuram
254,4,Guindy
254,5,Saidapet
254,6,SIET
254,7,DMS
254,8,TVS
254,9,LIC
254,10,Central R.S.
254,11,High Court
166,0,Iyyappanth angal
166,1,Ramachandra Hospital
166,2,Porur
166,3,Porur Powerhouse
166,4,Gerugumbakkam
166,5,Kovur
166,6,Moondram kattalai
166,7,Kundrathur
166,8,Anagaputtur
166,9,Pammal
166,10,Pallavaram
166,11,Chromepet
166,12,Tambaram
170L,0,Kallikuppa m
170L,1,Tambaram
170L,2,Pallavaram
170L,3,Guindy
170L,4,Vadapalani
170L,5,CMBT
170L,6,Anna Nagar
170L,7,Padi
170L,8,Ambattur I.E
170L,9,Ambattur OT
170L,10,Pudur
170L,11,Vandalur Zoo
248A,0,Kallikuppa
248A,1,Pudur
248A,2,V Nagar
170D,0,Kannadasa n Nagar
170D,1,Moolakadai
170D,2,Retteri
170D,3,Thirumangalam
170D,4,CMBT
170D,5,Vadapalani
170D,6,Ashok Pillar
170D,7,Ekkattuthangal
170D,8,Guindy Estate
2A xt,0,Kaviarasu Kannadasa n Nagar
2A xt,1,M.K.B Nagar
2A xt,2,Anna Square
7G,0,Kaviarasu Kannadasa n Nagar
7G,1,Moolakadai
7G,2,Perambur market
7G,3,Pattalam
7G,4,Doveton
7G,5,Periamedu
7G,6,Central R.S
7G,7,Broadway
M33xt,0,Kaviarasu Kannadasa n Nagar
M33xt,1,M.K.B Nagar
M33xt,2,Vyasarpadi
M33xt,3,Basin Bridge
M33xt,4,Mint
M33xt,5,Mannadi
M33xt,6,Broadway
37E xt,0,Kaviarasu Kannadasa n Nagar
37E xt,1,M.K.B Nagar
37E xt,2,Vysarpadi
37E xt,3,V Nagar
37E xt,4,Regal
37E xt,5,Choolai P.O.
37E xt,6,Purasaiwakkam
37E xt,7,Egmore
37E xt,8,DPI
37E xt,9,Sterling Road
37E xt,10,Valluvarkottam
37E xt,11,Liberty
37E xt,12,Vadapalani
37E xt,13,Porur
37E xt,14,SRMC
37E xt,15,Iyyapanthangal
M116,0,Kaviarasu Kannadhas an Nagar
M116,1,SIDCO
M116,2,MKB Nagar
M116,3,Sathyamoorthy Nagar
M116,4,Basin Bridge
M116,5,Mint
M116,6,Stanley
M116,7,Beach R.S
M116,8,Broadway
121G,0,Kaviarasu Kannadasa n Nagar
121G,1,Moolakadai
121G,2,Retteri
121G,3,Lucas
121G,4,Thirumangalam
121G,5,CMBT
